"","TWEETS"
"3593","asche bochor abar hobe... thank you"
"3594","didi ami obc b pharmacist.health recuitement board a amar theka kom peyeo oneker nam asche amar hoini please dekhun"
"3595","dada don asche sune akta loker gal e kete dile???boro fan.. :)"
"3596","tomar notun movie kokhon asche?"
"3597","yahoooooooo my best abr fira asche ....oi amk block marsilo abr unblock marse....toke onk miss korsilam..."
"3598","kokhn launch krbe bolo na go plz excitement e ghum asche na plz plz plz bolo"
"3599","plz bolo na kokhn debe?? eto excited j ekhno ghum asche na chokh off krley gong ta vese uthse omg!!"
"3600","but koyta bajhe debe?? plz bolo amr to excitement e ekhno ghum e asche nah!!!plz bolo bolo"
"3601","hae :( niya asche"
"3602","bo**r cha khaiya j vul korlam,,,, ghum e asche na,,,, nishachor at puran dhaka"
"3603","notun kicu niye risadh nd the team asche thke :) =d :) feeling fantastic at mirpur-1"
"3604","don't worry kkr. ..aschhe bochhor abar hobe...ipl"
"3605","dhatt teriki dhatt teriki poteo pote na..uff kobe je full gan ta sunbo.. ki kore6o 2mi..nach to ekdm vitor theke as6e..:-p"
"3606","jibon r cholche nahh soja pothe......"
"3607","shooting kemon cholche????"
"3608","semester cholche amar."
"3609","bandwood 4 er sound check cholche.. 5ta theke shuru... princeton club"
"3610","abar share korlam, lorai cholche, cholbe..."
"3611","cholche ager motoi"
"3612","ha re koekdin ektu sabdhane thak thik hoye jabe. tor yoga cls bhalo cholchhe to?kmn improvement holo?"
"3613",": cholchhe"
"3614","bas cholchhe...tmr ki hal?"
"3615","amaro cholchhe motamuti"
"3616","ahahahah! enjoy some laughter on bhallagse, tai! cholchhe ekhono.. with yamin khan &amp; rj arunima! :d"
"3617","hey da...again mistake.....achha tmar new mobile phone ta ki gondogoal korche dada??? good night..tk care"
"3618","to spongebob ki korche"
"3619","didi gawah movie niye please kichu bolo..kobe release korche???ei movie ami obossoi dekhbo"
"3620","r a edited scene mene neya jeto, jadi ending ta proper hoto? hazar question arise korche"
"3621","good nightyninerocks dadavai. tomar followers ki fast grow korche!! fatafati."
"3622","but ekta kotha bolbo raag korbe na to tq ? mathay oi jinista ekdom match korche na kintu , kirokom ektu odd lagche"
"3623","hothat ei majh raat e maya e giye mod khete icche korche, sthe pele valo..."
"3624","boro ichche korche dakte tar gandhe mekhe thakte keno sandhye sandhye naamle se palay"
"3625","thik...i guess people hv become blind in luv..senses r mone hoy kaj korche na!"
"3626","amr toh paye pore pronam ichche korche...damn their acting skills..."
"3627","iftar kheye alaap korche rj sarzina . show in an hour, tune in at 9pm :)"
"3628","oi account lock hoye geche... keu ekta bar bar login korar chesta korche ekhon kono vabei thik hocche na :/"
"3629","ami reply diyechilam, sekhanei sesh hote snigdha, indu sobai kano ak kotha repeat korche"
"3630","onk din por abba loge kotha,,,, khub vlwww lagche positive kotha gulo sune &amp; amk miss korche, atto positive age..."
"3631","bujchi vai...aunty mone hoy tomare test korche"
"3632","a dekharo hoy ni. tobe baba abar promised korche j sir abar bangladesh a aasle amy jete diben"
"3633","tomake onek besi cute laagchhe. ekta chhotto shishu er moton. very adorable. ektu joraabo tomake? onek jorate echchhe korchhe."
"3634","didi amar familyke bachan scps open shelter er sanction delay korchhe ami ngo theke 11 mnth er salary pachhina dui meye niye"
"3635","udta punjab dekhlam.. prothomei jeta bolte ichhe korchhe navina cinema hall er du side er speaker gulo jodi na..."
"3636","abar dekhte ichchha korchhe,chokhe bhaschhe story ta,just awsm."
"3637","chi.. ekhon kar neta ta eder k niyei nacha nachi kor6e... dhikar ekhon kar seku meku neta der... erokom hole tora..."
"3638","orokom na dekhia only arahi k eksathe time spent kor6e erokom o dekhia end"
"3639","na na i have to go now , kirokom jeno ekta odvut jinis hocche .. no no i have to go ... i have to ...."
"3640","ai yr e te hocche na r dourono sourav da..."
"3641","thanks bro for ur ..m premiere e dekha hocche"
"3642","chardike ja hocche majhe majhe tomar jonno khub bhoy hoy jano manus r ekhn manus nei ..."
"3643","lokjon ekta world cup jit te na para club footballer ke niye emon nacha nachi kore jeno mone hocche copa ta jite geche already"
"3644","tomar dada mone hocche"
"3645","shokaler gum ta nosto holeo.....journey ta valoi mone hocche.... feeling refreshed at dhaka mymensingh highway"
"3646","what do you think will bvb let him leave? ar star player jaite dibe na mone hocche"
"3647","namaz beheshter chabi. allah er nikot sob cheye priyo ibadot hocche namaz. allah, sokol muslim k namaz porar toufik dan korun... amin."
"3648","asr ei mishti hashi ta r dekhte pabo nakhub koshto hocche"
"3649","amader bangalirdr sovab hocche dhaka te ese koekmash thakte hobe oi ekjn attio er basatei uthbo 2 room hok r ovaber songsar hok...."
"3650","finally xm sesh hocche"
"3651","mne hochhe ghorir kata dhore ghurie die rat8ta kore di sobsmoy da'r sng er jonnoi amader atota wait hy!!!"
"3652","haan go..te3n premiere er kol e..bhalo achhi go.tumi kamon achho?haan onek din bade kotha hochhe"
"3653","pakka hochhe :)"
"3654","keep going..premier-e dekha hochhe..."
"3655","song shune e to ei rokom hochhe"
"3656","dada eta ki hochhe..porcu theke dekhchi tumi majhe majhe kichu retweet korcho..pore abar taa delete kore dichho."
"3657","dada eta ki hochhe..porcu theke dekhchi tumi majhe majhe kichu retweet korcho..pore abar taa delete kore dichho..aj o temon tai holo"
"3658","very much xcited. 2hrs ta ar opekkha hochhe naa amar"
"3659","khub byasto mone hochhe?"
"3660","thank yo so much! hyan tai toh mone hochhe"
"3661","ichhenodi anurag (vikram) chara just vaba jae na.. new promo te anurag k dekhe tension hochhe.."
"3662","thanks pallabi. 8pm dekha hochhe."
"3663","abar!!!!!!! eta ki hochhe bidhan?"
"3664","koster thekeo ekhon rag besi ho66e.."
"3665","khub kosto ho66e without arahi i can't live"
"3666","ucrc k revamp korun sir. ami 10000 chele k skill training eh pathate pari, take my help pls."
"3667","ami god k dekhini......bt tmk dekhechi........ avabe e r akta match agea jao boss.......... feeling messian at usa"
"3668","good morning...."
"3669","good mrng.....sir ami apnar annotamo bigg fan....i love you sir....."
"3670","please jash na. ..ami pagol hye jbo toke chara"
"3671","didi ekbar parle koro. ami jodi tollywood industry te thaktam. tale tomakei propose tomar hasi ta khub mishti."
"3672","dukkher saathe janate baddo hocchi...... r ei sudhu eka noy.... ami o -_-"
"3673","ami epaara te 2004 shift korechhilam (arrived). when did you leave?"
"3674","hahahah!jodio ami aar okhane aar thaki na, but yeah you reminded me of my growing up years.."
"3675","chalo ami gelam .... tata tq ...."
"3676","no problem ami to achi and always thakbo tomar aashe pashei , jadi knodin by chance icche hoy kotha bolo"
"3677","world music day celebrated at kolkata ms.sraboni sen,anindya &amp; upal honored by ganer ami ganer tumi via news"
"3678","""ami tor mon take valo basina, valo basi shudhu tor ei kothatai oneke kapurusher..."
"3679","ki kora jabe dimaag kharap to amar , ekta pathorer sathe diner por din kotha bole cholechi ami eka eka"
"3680","yeah yeah i know as usual tumi chup kore thakbe and ami eka eka boke jabo"
"3681","ami tomak khub valobasi. amar tomak chai"
"3682","ami bengali seta ki bhule geli"
"3683","ajker din ta khub bhalo katlo... thank you all love u all ami akta kotha share chai... 365 din er modhya..."
"3684","btw...ami bhalo achi.."
"3685","salman khan - 'ami 1 year a 1ta kore movie kori'..... arijit singh - 'year ar sob movie te amr akta kore gaan..."
"3686","ami eta fb diye peyechi..amar mone hoi eta tomar e edit cha"
"3687","ami eta fb diye peyechi..amar mone hoi eta tomar e edit chandi di..."
"3688","ami anuska"
"3689","dev da i just love u...tmr amon kno movie nei jeta ami dekhini..now just waiting for ur upcoming flim.."
"3690","dev da ami tomar khub boro fan"
"3691","yk me mou ami publicly kihu bolbo na tai bollam theme ja"
"3692","ohh...sobai ke wish...r amae akta hi porjonto bolte paro na taina....ami dp dini tai..lol."
"3693","eta nie ami kichu bolbona jara amay valo chene ba jane tarai bolbe"
"3694","oi son ami vd sob shower montage diya atom ekta edited chain ache toder kache sob pic"
"3695","kano ra amon tal matala ami. .."
"3696","ami ki dekhini akashe milechhe shankhachiler dana, ami ki shunini megher aarale hariye giyechhe gaan..."
"3697","ami koto unlucky je amake ekta reply dao na."
"3698","raja was rich too but ami bolchi open mind valo chela hoa"
"3699","netbanking er account eo tomar nam deoa..ami ki tomarbtrue fan hote perechi???ekbar to bolo pls akta repl"
"3700","ok.thank u.tumi ki direct message jabe.tahole ami amar ph number ta diye debo.plzzz"
"3701","ami miss koreche.plz.music workshop hole ektu janabe plzzzz."
"3702","btw ami kno dream er moddhe nei to tq ? ettoooooo tao misti voice karur hote pare , mone hoy jeno sudhu suntei thaki ei voice ta"
"3703","tumi to jano amar kichu kharap lagle ami direct mukher oporei bole di , but seriously tq tomar etto sundor gola je ki bolbo tomay"
"3704","revenues to double by 2020"
"3705","ei pic ta save kre amake snd kr pls ami save e par6i na."
"3706","hmmmmmmm ami to dkhte jboi kelorkitti tmi r dev j a6o flme.jete to hbei. pa venge6ilo tai pact dkhte jete prini eta jboi"
"3707","jano di knodno uthina 8.30 te bt aj uthlm just tmk dkhar jnno..papa to obak ami nki ato mrnge uthe pore6i..hihihi"
"3708","wow!!!!!! hope to be lucky first time on twitter dear"
"3709","dear how you select the lucky winner??????"
"3710","""ami amar moto bhalobashi"" by rashid khan | song from ""pencil e aka bhalobasha"""
"3711","good morning have a great day......."
"3712","yes , always know that dear all is well with love you.."
"3713","dear team , still i am not got my cash back why???"
"3714","good morning have a great day dear"
"3715","day-148 ami tomye valobasi didi khub miss korchi tomye!!"
"3716","ami vai nutrl man :p :p"
"3717","chandidi oi ekta pic dekhei to apatoto flat ami :p aka is actually supeer"
"3718","exactly also everyone keeps asking me 'chosma chara kichu dkhte pas ??!! ' kno be ami ki ondho nki !!! -_-"
"3719","ami r wait parchi na mahanayak"
"3720","ami ajke bsb dekh6ilm mobile e 383epi..missing arahi"
"3721","chandidi oi ekta pic dekhei to apatoto flat ami :p aka is actually supeerrrr haawwttttt ;)"
"3722","how r u now?"
"3723","oke,thank you"
"3724","sir, apanke ami kichu amar voice samples pathachchi jegulo professional demo haito noi kintu hridoi diye gaowa. plz sune dekhben"
"3725","why didn't led by furnish documents to transactions made by chidambaram's companies to ed?"
"3726","valobese kno vul korini ami..feeling emotional &amp; touched"
"3727","ami kolkata e thaki infrm me 9804547517 my numbr my biggest dream &amp; jodi tmi na thko thn kolkata e asle blbo"
"3728","sir im kid 17year old im frm kolkata my big dream meet with u bt ami chance paina do u gave chance"
"3729","bolchi tomar dibbi khele.. ami boro shanto chele.. keep givin us those fantastic tunes.happy htt"
"3730","sala aaj dekhi sobar shreya basak ayan roy dishani roy ami vegan momo khabo"
"3731","sudumatro ar jonnoy ami chelseak aj lampard nei chelsea-o amr favourite team thaka bad pore gache"
"3732","kano meg sara na rotti,kano galpo hoy na sotti,ami matto tar e toyree do tanay,do tanay..miss u lot"
"3733","ami bolechilam 8th june. probably chandidi amar agei nam ta diye diyechilo :d bt ami bhabchhilam ami bodhoy first bolechhi :p"
"3734","yummy,ami"
"3735","ami eituku jani jadi ami conjuring 2 dekhi then amay hall theke baire anar jonno 4 jon manus lagbe , bujhte parcho to ki bolchi"
"3736","na, na, konotai tulte hobe na,, ami bujhechi tumi bangali"
"3737","ami sex chat chai tomr sathe..."
"3738","thank u soo much sir for ur kind reply. ami khub siggir e pathachchi."
"3739","i liked a video ami achhi from the film kagojer bou (2011) by bappaditya bandopadhyay"
"3740","chalo ami gym e gelam , parle tumio chole jao gym e ekhn ... bye tq ..."
"3741","consumption is growing at a rapid speed than all other media"
"3742","take atka rakhar chesta ro bariy dicha testa,ami dariy dakchi ses ta janlay.. ses hoy o holo na ses"
"3743","gorom keno lagbe? and ami shunchi na"
"3744","tumi bhalo theko etai chai ami."
"3745","ami tokhon class 10. auto te ekti meyer sathe alaap holo. se class 12. ami hindu se catholic. same stoppage e..."
"3746","good afternoon. ami khub valo achi r tumi?"
"3747","oh wow .. hope you are enjoying the weather ... tbe in er current trailr ta ami ek2 o njy prchi na ..ulte ksto hchche"
"3748","amaro same. i mean ma baba ar ami."
"3749","ami dunlop thaaki. ta tomar bari te ke ke achhen ???"
"3750","sonia's education is secret rahul's trip is a secret priyanka's is a secret vadra's business is a secret"
"3751","ami dekhini ekhono. will soon"
"3752","dekh ami ajj sokalei share korechi fb a.. ;d"
"3753","ami sob actor-actress deri fan n i'm proud for it."
"3754","but koekjon devfans jeet da k direct mention kre galigalaj day r amke ble kina j ami anti."
"3755","bhai tui konodino dekhechhis amake ami kono actor k galigalaj kri ??"
"3756","kichu to bolo tmi to sudhu like kro. ami ato ktha bollam."
"3757","tui na dile debo na :3 achha. it is. tor kota naam ami jani na. bhulei gechi, ettoww na"
"3758","i love u twitter.ami tomake valobasi.coz yeha mein meri vaiya&amp;di hein&amp;yeha se hein mujhe meri didi mili...."
"3759","ami me pasa con vos y a vos con otra asi es seores"
"3760","eibar ami first food chere dilam, next year drinking charbo celebrating my"
"3761","ami set top box ekhono nei ni, dth o nei, gato 15 din theke media circus o tar jantu janowar dekhchhina, ami..."
"3762","dada ami 8 e pori go its true"
"3763","dadavai..... ami 8 e pori go"
"3764","dadavai ami 8 e pori"
"3765","ami bigest................ fan &amp; you ? tomake dear bolte pari ?"
"3766","ebar ami 4th no. e :("
"3767","omago!!!!!!! ami 1st omg"
"3768","r ami 1st da........"
"3769","r ami 1st"
"3770","divai ami 1st go...."
"3771","omg!!! dear ami !1st oh my god"
"3772","(_) seventeen"
"3773","anago's"
"3774","omg !!!!!!!!!!! 4 no. ami"
"3775","dekhecho amame.... ami samriddhi"
"3776","na of course na, ami sheta mean korini."
"3777","amr ma sheta bole ni.. cz amr ma kokhono amr gan gai na. ami aj amnitei porchilam. cz kalexam ache"
"3778","toke niye jiboner koto kahini amar surer tuiii ragini .... ami hariye jay r khuje beray piya tore bins jiya jay..."
"3779","tak atke rakhr cheshta aro bariye dicche teshta ami dariye dekhchhi seshta janlay"
"3780","dur hote ami tare sadhibo &lt;3"
"3781","ami toh bujhlam e na r mon tao bujhlo na"
"3782","salar opal jare ami onek boypai oidai amar bichnar monde feeling afraid"
"3783","happy anniversary mustafiz ai dine ami first kawk valobase r sei manosta hole tumi i love u fizz"
"3784","gorgeous divai! tumi akhon bangladesh e kintu ami nai :("
"3785","ami thaki ekla"
"3786","ami ja chaici ta holona"
"3787","bangla drama natok | ei kule ami r oi kule tumi | 62 | ft mosharrof... via"
"3788","oi chemri ami oiling kori na tui janis na??ami holam ""oil free"" group er 1 jon member"
"3789","ekhon majjhe modhdhe ami ammu k deke dei :d"
"3790","khaile to sobai e sotto koy...huh!"
"3791","so ami dekhboy remake hoile hok dev ache eitai amr kache sob cheye boro kotha"
"3792","remake hok r jai hok eta dev er so movie so ami dekhboy r dev ki age ei film ta krse? or jonyo to new experience"
"3793","bangla natok ei kule ami r oi kule tumi via"
"3794","first time tmr dad er name tmr kono film e tmr character name!! kmn feeling hochche tmr?? ami to hevvy excited"
"3795","babu ami ekhn r tmr kache besi aste parsina tweet parsina but taw onk boka kheye onk lukiye lukiye tmr kache elam"
"3796","ami toh korini :)"
"3797","ami kothar majkhan a jai e na :p kichu lagle amar kache ashe :p ami jai na :v"
"3798","teacher:boltu ami tomar tiffen kheye felsy. boltu:keno sir. teacher:khuda lagsilo ty. boltu:ok sir. teacher:tomar..."
"3799","sotto kotha.... shad chowdhury sawkat sajib ami ek ami ekta odvut ki kos?"
"3800","fera jabo ami || dhruba guha || official video || 2016: via"
"3801","ki komu ami?"
"3802","lol...ami nijei heshe disi"
"3803","hide &amp; seek. jokhon ami..."
"3804","tumi amay dekechile ek meghe dhaka dine keno ami dei ni shara amar chokhe akash dekhe tumi bolechile kichu bujhini keno sei ishara...."
"3805","bangla new natok ei kule ami r oi kule tumi 64 mosharrof karim new comedy natok 2016: via"
"3806","bangla new natok ei kule ami r oi kule tumi 63 mosharrof karim new comedy natok 2016: via"
"3807","i added a video to a playlist bangla new natok ei kule ami r oi kule tumi 64 mosharrof karim new"
"3808","i added a video to a playlist bangla new natok ei kule ami r oi kule tumi 63 mosharrof karim new"
"3809","hmm sehri kheyei dekha jeto...ami alarm diye ghumabo"
"3810","ami pump dei an deshi"
"3811","shob kua ja khotom kua.... all is well that end is well....:v feeling kita koram ami...... kita koram"
"3812","ami thelagari kinum.. jibon er moto dhakkamu"
"3813","bangla natok ei kule ami r oi kule tumi 63 | ft. mosharraf karim &amp; shokh | on 21 june 2016: via"
"3814","family member khali bokse? ami hoile toh mair ditam.."
"3815","aish... tmr klk prac ase? ami klk 11 tai jabo shobar sthe dekha tmr prac thakle tmr sthew hoto dekha"
"3816","tmi jano........ami ki kre bolbo?"
"3817","amk shobai bhule jache din din. ami youngest maknae bd army. amk bhulle to cholbe na"
"3818","shahid hasan dip muazzam khan tanjia binte zafar atandrila ahmed dekhsos ami koto valo kaj kori? kokhono khabar..."
"3819","i liked a video imran bangla new music video song 2016 | ami nei amate"
"3820","ami brishti dekhechi | bengali movie song | ranjana ami ar ashbona | anjan dutta, parno mitra"
"3821","tomk peye ami onk lucky .....thank u ....dear...hide korlam..jd"
"3822","kbe katben,ami to kale shunlam hanif,nabil,a k travels agular ticket pry shes....."
"3823","oke kapor porai rakha karor pokhe shombhob na but ami try pari. ekbar biye kore nei ei cheler sthe."
"3824","ami bus a time pass kori"
"3825","ami time pai nai model test cholte hai"
"3826","re ami o toh mja korci :p"
"3827","eita ami ki dekhlam | via"
"3828","vai ami hack shikhte chai koto taka lagbe just only fb hack shikhbo amar kache code ache but kajer na hoyna plz ami shikhbo"
"3829","ektu age ami &amp; safina ruhana (samreen) . ."
"3830","clg er chinta sesh ................... :) ami kono clg e hobo na ...soo kew ask korish na kon clg ... just..."
"3831","tensed vikram je ato handsome ato innocent ta ami jantam na.."
"3832","radar - ami jare chai re 2012 bangla song (by..."
"3833","wait dekhi ami :'3 amr theke lame keu na bruh :v"
"3834","yesh :"") ami more gesi khushi te &lt;3"
"3835","shudu matro ekti diner apekkhai, fire jaoa manei here jaoa noy. ami bhuli ni kaokei bhuli ni. ashbo akdin abar..."
"3836","kivabe amar moner kotha gulo akhane chole ashlo ami bujhte parlam na."
"3837","ami bhabte parini tumi buker vitor fatcho amar shorir jure tomar premer bij ami thamte parini tomar gaale norom..."
"3838","hmm koisilam na ami na...?"
"3839","ata to ami aj must kinbo.. :p nafisa oyshey engky simi ata kintu tmdr khuje ber hobe aj .. :v"
"3840","aito to ami aj must kinbo ... :p nafisa engky simi ata kintu aj market e khuje ber hbe tmdr :v"
"3841","ami"
"3842","hudda ami ektu kaj kori na prisrom o mori na"
"3843","ami tomar kase ekta kisu chassi,r tumi sunsoi na"
"3844","kew majai dori badho ami kintu ure galem"
"3845","dev er all song ei ami mad hoye jai"
"3846","huuuu vaiii ami mone korsilam jhon snoa here jaber season 7 e winterfell reclaim korbe"
"3847","ami fb te jabo na but twitter e toh achi ekhanei thakbo...."
"3848","bangla comedy natok | ei kule ami r oi kule tumi 62 | ft mosharrof... via"
"3849","tai boln ami to na amr dhaka"
"3850","ami kita koitam re....!!!"
"3851","ami 1ta khaite gelai jibon ses"
"3852","this is the meanest reply ami ki jantam tumi malaysian summer niye asba"
"3853","i added a video to a playlist bangla comedy natok | ei kule ami r oi kule tumi 62 | ft"
"3854","bangla new best comedy natok ei kule ami r oi kule tumi 62: via"
"3855","""amar ami"" program e amra...."
"3856","ami vuli nai"
"3857","ami akta bisoy khub babtasi"
"3858","kal theke exam r ami matro janlam.. feeling shocked"
"3859","- () , .."
"3860",":v ami mofij ..."
"3861","cherry reeeee... ami akhon r tamon akta online ashi nah toh"
"3862","sukkro bare asen ami free asle call diyen kmn"
"3863","aj ami onk happy ,. ja. manush ta k sob thaka apon mona aj oi manus ta akta word a sob bujiya dilo. amr jaiga tr ksa koto tuk o"
"3864","onek shadhonar pore ami pelam tomar mon full hd"
"3865","lol ! ami hole moirai jaitam :d :d :p"
"3866","amr dada vi tmi amy onek vlobaso dada vi ami jni plz amr dadar jonno sby duya koro jate vlo thake"
"3867","deho tai beche ache ami noi"
"3868","onek shadhonar pore ami pelam tomar mon..."
"3869","ami jani na ....amar mon keno biya chay na"
"3870","atleast ami sy yh nahin sunana thaa k kuch seekh lo agay ja kar kya kru gei"
"3871","ar kichu chai na ami gaan chara gan chara"
"3872","hahaha ajke amar o hoyto same hoite pare , dekha jabe ami alarm off kore abar ghumaya porsi"
"3873","and that koter moment jokhon shashuri amma majhe majhe relation er majkhane pera jinish ta dhukai dae :3 ami atoi..."
"3874","eitao kintu joss, ami eita use"
"3875","ami sob belay aci"
"3876","ami: kch km hi ni bx bed rhty hain pura din b dkho whi paray pickng crockry up* ami: rhndo ab m khud hi kr lu gi"
"3877","jani dosh shobari thake, amaro chilo tomaro chilo... amar dosh dekhai dewar por ami shudraite try korchi, tomar..."
"3878","ami to ruda mori"
"3879","kal ami se bola kaprhe press kar den and mum said: beta itni garmi mai jab bahar jao gay to kaprhon k sath khud b istri"
"3880","first time ami meyeder pokko niye kuno status dite jacci. onk chele kei ami dekeci gf ke physical korar jonno..."
"3881","ami wifi device ka charger chuppa dyen"
"3882","how i love this month. ami , aba have already spoilt me so much and yet the gifts dont end."
"3883","good,ami chittagong bai"
"3884","hello frndz, kisu personal problem er karone ami amr ei account ta deactivate kore dibo... amr new facebook..."
"3885","mein to itni middle class hon k agar meri ami mery liye roti bana lain aor mein woh 30min tak na khaon toh woh mujh sy naraz ho jati hain."
"3886","kal ami se bola kaprhe press kar den and mum said: beta itni garmi mai jab bahar jao gay to kaprhon k sath khud b istri hojao gay"
"3887","ami obak hoilam. .rastar vikarir understanding dekhe"
"3888","me : *poses in a family photo* ami: chal mun seedha kr apna"
"3889","rickon ko us ki ami nay kaha tha kay hamesha seedha bhagna idhar udhar nai hona. -.-"
"3890","ami.... abbu hoi gelam!! :p"
"3891","father: beta mere paoun duba do. beta: papa time nahi hay,ami say kehdain. father: beta tumhay mujhsay zara..."
"3892","ow! u have watched it! ami akhono dkhte parlam na.but have to watch soon.the trailer was terrific! + :-)"
"3893","? ! ^_^ :p"
"3894","ami raji !! gaal fataay dibo akkare!!"
"3895","ami mone korci goroner jogan de"
"3896","tmk kivabe daklam ami kal k raat e...tumi shuno e nai"
"3897","hmm,vai tmi r ami same"
"3898","accha ready hou...astesi ami"
"3899","shundor hoiche...ami vablam keu kichhu bolche amar bon re"
"3900","ami: naha lo me: kahin jana hai? ami: nahi. me: .... ami: .... ami: begharat"
"3901","haa argentina korleo amar kintu always 2nd choice brazil silo. ei copa te eder team deikkha ami obak"
"3902","ami keh rhe hein so jao mjhe meri izzat bht piyari hai me to lagi sone"
"3903","ami ny umrah kiya hua....tv py jb b dkhti allah ka ghr ya nabi(saw) ka roza mubrk to ham ghr wlo ko btati aik aik chz ka...alhamdulillah"
"3904","didi ami bangladeshe thaki.mone rekho ami vikram chattetjee naaa.."
"3905","then thako, ami ekai khai"
"3906","rahul mehra ami"
"3907","ami??"
"3908","engineering e ki lecturer nai naki?? versityr sir der lecturer bole j....ar eta ami emnei bollam"
"3909","jano,sometimes bhabi, ki lucky ami je tomai peyechilam &lt;3 amar jibone tumi acho :-) tomar fan howata sottyi gorber byepar :-o"
"3910","sudhu ami chara... :'("
"3911","no need to call me boro bhai... ami to valo... apni?"
"3912","kintu ami seta ami mene nisi seta"
"3913","ami doa kore dilam"
"3914","galat keh rhy meri ami ni in sy"
"3915","bangal new song tor moto ami akta........:"
"3916","ami no.2... :p"
"3917","ami hindu... se jonno rakhi na j...lol"
"3918","baah tmr commitment dekhe ami asolei mugdho"
"3919","ami bhalo student banai dibo... don't worry"
"3920","ami na bujhle k bujhbe"
"3921","ami ageo bhalo chinlam ekhono bhalo...100%"
"3922","ami kintu bhalo"
"3923","esob holo etiquette... tumi compliment korso...seta ami accept korsi"
"3924","ami tomay akono valobashi ager moto. jototuku aga bashtam.... tai ai gan tomay dedecate korlam.!.i .l.o.v.e. y.o.u. n.i.k.a..!? dil amar."
"3925","oke ami chini i guess"
"3926","karon ami nijei eta jante parbo na kokhono"
"3927","amii na.. sobai dukkhho komai...ami barai"
"3928","chinta korio na...ami tmr dukkho baraite sahajjo korbo"
"3929","ami sympathy dite parbo se dike somporko"
"3930","bujhi bujhi ami bujhi"
"3931","who's ur jamay? ami kokhon dekhte chaylam?"
"3932","hahaha r ektu hoiley unfollow ami to chinte pari na..."
"3933","achsa ami bujhesi bro kahini ki"
"3934","ami buijjailchi bro tmr ar beshi din nai :d tai to practice choltese :p"
"3935","ami ami..."
"3936","ta o valo,,, ami toh ta o nah..."
"3937","ami nije boring lecture khai aschi... beshi pain"
"3938","ami top wah valoi to"
"3939","ami still tired -_-"
"3940","stop hole howa jai...ami stop hoy e nai kokhono"
"3941","ami ny kaha ha k baal dekho apny soy rehty hr waqt.....lol tb jaa k comb ki"
"3942","ami asi bhaloi....olpo tired... tumi??"
"3943","ami keh rahi jao ja k naha ao barish ma . best mom ever"
"3944","kothay ache na jar jonno kori curi sei bole cor ...... ami na ki pagol ami merudondo hin akta manus ki korbo..."
"3945","lage tobe mojar bepar holo ami akhono charger kini nai ar extra oita deyei :d"
"3946","9 min bd ami ko jagana fr sehri"
"3947","ami k hath main hai mera phn"
"3948","""beta apni ami ka number dena"" horror story"
"3949","kaoke kharap bolar age ekbar nijeke ask kora dorkar ami nije koto valo.... ami kore berabo duniyar beyadobi....r..."
"3950","11.06.16 amar mobile harai gece 14.06.16 mobile hate pelm... moral of the history holu..... ami life onk..."
"3951","thank u sooo much fish apuuuu !! but ami kinthu eidi dicchi na xd"
"3952","somane = soman "" ami hote"
"3953","koi knock dilam toh ei ami e...tumi toh dila na"
"3954","aj phr aftari se 15 min pehle muj se pakoray bnvany suru kr dye ami bss"
"3955","murad % % , ?"
"3956","listening to it's my life (bon jovi song)"
"3957","ami tomr senior. i'm 16"
"3958","twitter tai ache life a eta ki thakbe ? naki etao bigar dibe r ami etao use kora chere dibo .."
"3959","ami ai year a ssc exam dilam. kintu age diye ki hobe??"
"3960","even ami r baba 2jone jabo,,, tomi pray koro amr jonno ok."
"3961","happy father's day! ami apnake onek valo basi kintu mukhe bolty pari na. apni amake onek kosto kory manush..."
"3962","aj theke ami moha bestoo........ hu hu hu"
"3963","karon ami jani amr follow ar tomi next a accept korbana... !!! tai -be careful!!!!"
"3964","sir, akhon sbsonoy mind a rakte hobe jeno tomi unfollow na hoejao. jodi mistake koreo hoye jao tobe ami ai jebon rakbona."
"3965","ami? pls a mi one direction"
"3966","dada rustom movier gaan ta awesome hoye6e.. tumi aaro valo valo song amader gift koro.. u r the best..."
"3967","tumi robe nirobe: v balsara via"
"3968","check out ""tumi na elee by project flashback"" by project flashback -"
"3969","tumi r erokom korona taratari dao.r parchhina"
"3970","didi, i love you and your smile. tumi khub mishti please me didi... tomar movie dekhe khub bhalo laglo."
"3971","vai de gea. tumi pique er dike na takiye ball ta follow korle goal ta hoto na.. feeling irritated"
"3972","shubho ratry arindam da,,,so nice of you,,,khub sundor r nidarun sottyo kothaguli tumi pathiecho...khub sundor sokal tomar jonyo"
"3973","jani pathore matha thukle nijer mathai fatbe but pathorer kichui jay asbena , tq tumi puro patthar - the stone hoye gecho"
"3974","tumi erokom na korleo paro kin2 kano korcho erokom? evabe kono kichu cholte pare na. kichu 1ta koro/taratari dao"
"3975","tumi chul eto bado bado raakho keno?manage problem hoynaa.eto busy actress tumi. aami tomar chule roj shampoo kore dibo."
"3976","your hobby is to read books jaantaam naa.tumi time kokhon paao?right now, you're the most saught after actress in the industry"
"3977","paras er ki hoacha boloto?? on line hyna. like reply kichue krena. tumi ki kichu jno??"
"3978","i liked a video ""tumi robe nirobe"" - - piano instrumental"
"3979","tumi ki student ????"
"3980","bonny da tomay seriously eto serious look e manae na.....tumi khub sweet...tomay sweet look e manae."
